Symptom,Remedy,
Canker Sores,"Turmeric and honey paste, rinse mouth with aloe vera juice or triphala tea, avoid spicy foods, cranberry juice between meals.",
Cataracts,"Wash eyes with strained triphala tea, 1 drop pure castor oil in eye at bedtime, herbal mix (punarnava, shatavari, brahmi).",
Cellulite,"Regular aerobic exercise, kapha-reducing diet, massage with sesame and mustard oil, dust with vacha (calamus) powder.",
Cholesterol (High),"Kapha-pacifying diet, garlic/ginger/lime before meals, cinnamon-trikatu tea, triphala guggulu tablets, daily exercise.",
Colds and Flu,"Ginger-cinnamon-lemongrass tea, steam with ginger/eucalyptus, avoid dairy, rest, drink hot water, use amalaki as preventive.",
Colitis,"Herbal mix (shatavari, shanka bhasma, kama dudha, sanjivani), aloe vera gel, avoid spicy food, healing enemas, cooked apples with ghee and nutmeg.",
Conjunctivitis,"Fresh cilantro pulp or goat’s milk compress to eyelids, coriander eyewash, kama dudha and gulwel sattva internally, turmeric solution for cleaning.",
Constipation,"Triphala (½–1 tsp at night), vata-pacifying diet, ghee in hot milk at bedtime, eat ripe bananas/apples/prunes, increase fiber/water, regular exercise/yoga.",
Cough,"Dry: banana with honey and black pepper, garlic-turmeric milk; Productive: black pepper with honey, ginger-clove-cinnamon tea, mustard-ginger in honey, bay leaf and pippali in honey; for children: pomegranate juice with ginger and pippali.",
Dandruff,"Massage scalp with neem oil (sesame oil base), eggwhite and lime juice mask, wash with neem soap.",
Depression,"Vata: dashamoola tea, ashwagandha-brahmi tea, sesame oil nasya; Pitta: coconut/sunflower oil on scalp/feet, gotu kola/brahmi tea, brahmi ghee nasya; Kapha: fast on apple juice, ginger tea, exercise; yoga and meditation for all.",
Diabetes,"Herbal mix (guduchi, shardunika, kutki, punarnava), turmeric capsules, bay leaf and turmeric in aloe gel, kapha-pacifying diet, copper water, yoga (Sun Salutation, Peacock, Locust, Leg Lift, Chest-Knee), alternate nostril breathing.",
Diarrhea,"Cooked apples with ghee/cardamom/nutmeg, bananas with ghee/spices, rice with yogurt/ghee, ginger-sugar mix, fennel-ginger powder, shatavari-arrowroot for pitta, sat isabgol in yogurt at bedtime, hydration with sugar/lime/salt water.",
Diarrhea (Babies),"Cooked apple with ghee/cardamom/ginger, whey (from curdled milk), honey-ghee-nutmeg-saffron mix, poppyseed porridge, calcium supplement if teething.",
Dry Skin,"Oil by dosha (sesame for vata, sunflower/coconut for pitta, corn for kapha), internal lubrication with oil enema, cherry mask for face.",
Earwax,"Warm water irrigation with baking soda, soften with warm garlic oil, or dissolve with hydrogen peroxide; massage with sesame/castor oil for stubborn wax.",
Eating Disorders,"Low-fat diet, avoid fatty/fried foods, eat 2–3 meals/day, licorice/raisins for snacking, calming herbal tea (chamomile, comfrey, brahmi, jatamamsi), bhringaraj oil massage, yoga (Bow, Boat, Peacock, Rooster, Lion), So-Hum meditation.",
Edema,"Turmeric and red sandalwood paste to swelling, elevate affected part, for insect bites use neem/tea tree oil, for allergy drink/apply cilantro juice.",
Eye Irritation,"Rose water eye drops, splash eyes with water, 1 drop castor oil at bedtime, chamomile/comfrey/mint tea break, shatavari with shanka bhasma for acidity.",
Eyes—Ayurvedic Care,"Morning cool water wash with water held in mouth, triphala eyewash, 1 drop castor oil in eyes at bedtime, ghee lamp gazing, basic eye exercises.",
Fainting/Dizziness,"Deep breathing (ujjayi), hydrate with water/juice, ginger capsule for motion sickness, focus on a fixed point, onion inhalation, herbal mix (brahmi, jatamamsi, saraswati), ghee nose drops.",
Fatigue,"Ashwagandha or ginseng tea, orange juice with rock salt and lime, treat anemia if present, pitta-pacifying diet for chronic fatigue, dates soaked in ghee, alternate nostril breathing.",
Fever,"Fast or drink fluids, cilantro juice, lemongrass-tulsi-fennel tea, coriander-cinnamon-ginger tea, cumin-coriander-fennel tea, cool compress with salt water, maha sudarshan churna, grape juice with cumin/fennel/sandalwood.",
Fibrocystic Breast Disease,"Gentle castor oil massage on breasts, herbal mix (kutki, chitrak, punarnava), kapha-reducing diet, yoga (Locust, Bow, Boat, Spinal Twist, Shoulder Stand).",
Food Allergies,"Avoid allergenic foods, follow dosha-appropriate diet, vata: dashamoola enema/licorice tea; pitta: amalaki/psyllium husk at night, cooked apples with cumin/ghee; kapha: salt water vamana/fasting; all: chew roasted cumin/fennel/sesame seeds after meals.",
Frequent Urination (Pregnancy),"Eat white sesame seeds with jaggery, avoid fluids 2 hours before bed, avoid caffeine.",
Gallstones,"Warm castor oil pack on abdomen, herbal mix (musta, trikatu, guduchi) for pain, liver flush with olive oil/lemon/garlic/cayenne (only for small stones and under medical supervision), kapha-reducing diet, yoga (Bow, Peacock, Spinal Twist, Narayan pose).",
Gas/Flatulence,"Grated ginger with lime juice after meals, lemon juice and baking soda in water, chew roasted cumin-fennel-celery seeds, charcoal tablets after meals, triphala at night, vata-pacifying diet.",
Glaucoma,"Herbal tea (punarnava, jatamamsi, shanka pushpi), triphala eyewash, kapha-pacifying diet, avoid heavy lifting/inverted yoga poses.",
Gum Disease,"Brush with neem and astringent herbs (lodhra, kushtha, bilva), sesame oil mouth swish, triphala tea gargle, orange juice with sugar/cumin, coconut oil gum massage, clove/tea tree oil for infection.",
Hair Health,"Nutritious diet (dairy, white radish, coconut, apples, cabbage), calcium/magnesium/zinc supplements, daily scalp massage with amla/bhringaraj/brahmi oil, eat white sesame seeds, yoga (Shoulder Stand, Camel, Cobra, Cow, Spinal Twist).",
Hangover,"Water with lime juice/sugar/salt/baking soda, orange juice with lime/cumin, cool lassi, coconut water, herbal mix (shatavari, shanka bhasma, kama dudha, jatamamsi), nasya with bhringaraj oil/brahmi ghee, tikta powder or aloe vera.",
Headache,"Vata: warm water/oil enema, sesame oil massage, ghee nasya, nutmeg paste on forehead; Pitta: aloe vera gel, cumin-coriander tea, sandalwood paste, ghee nasya, bhringaraj/brahmi oil massage; Kapha: eucalyptus/ginger steam, ginger/vacha paste, salt water nasal drops, Moon Salutation yoga.",
Hearing Loss,"Yogaraj guggulu tablets (200 mg 2–3x/day after meals), avoid vatagenic foods, keep out of cold drafts, warm garlic oil drops in ear (if no infection).",
Heart (General Care),"Arjuna powder (½ tsp 3x/day with honey/warm water), daily walking/Sun Salutation yoga, low-fat diet, meditation, garlic in diet.",
Heartburn/Acid Stomach,"2 tbsp aloe vera gel with pinch of baking soda, or lime juice/sugar/baking soda in water; pitta-pacifying diet.",
Hemorrhoids,"Triphala guggulu tablets, warm castor/sesame oil pack, aloe vera juice, pitta/vata-pacifying diet, keep stools soft with psyllium/triphala.",
Herpes (Oral/Genital),"Externally: tikta ghrita or aloe vera gel; internally: neem, kama dudha, maha sudarshan herbal mix; reduce stress with chamomile-jatamamsi-brahmi tea and meditation.",
Hiccups,"Hold breath, breathe into paper bag, honey and castor oil mixture, alternate nostril pranayama, treat constipation if present.",
Hypertension,"Punarnava-passion flower-hawthorn berry tea, avoid salt/fried/spicy foods, meditation, savasana, shitali pranayama, cucumber raita, magnetic water.",
Hypoglycemia,"Regular meals with protein/complex carbs, licorice tea for symptoms, tea of brahmi/jatamamsi/shanka pushpi/licorice, yoga (Peacock, Camel, Locust, Lotus), brahmi ghee nasya.",
Impotence,"Massage pubic/prostate area with mahanarayan/bala/ashwagandha oil, ashwagandha-bala-vidari herbal mix (1 tsp twice daily in warm milk with garlic), Rooster/Elevated Lotus/Vajrasana/Chakra Asana/Bow yoga.",
Indigestion,"Chew fresh ginger with lime juice/salt before meals, avoid incompatible foods, trikatu-chitrak-kutki herbal mix before meals, bay leaf tea after meals, fasting or pineapple juice with ginger/pepper for acute indigestion.",
Insomnia,"Warm milk with nutmeg/almonds at bedtime, herbal mix (tagar, valerian, chamomile) before bed, massage scalp/feet with sesame/brahmi oil, So-Hum meditation, gentle yoga before sleep.",
Irritable Bowel Syndrome,"Herbal mix (shatavari, kama dudha, shanka bhasma, arrowroot) after meals, psyllium husks with yogurt after dinner, flaxseed tea at bedtime, sesame oil enema weekly if chronic.",
Jet Lag,"Ginger capsules before flight, hydrate well, rub warm sesame oil on scalp/feet after travel, hot milk with nutmeg/ginger, chamomile-mint-jatamamsi tea at destination.",
Kidney Problems,"Herbal mix (punarnava, gokshura, fennel seed) after meals, cumin-coriander-fennel tea 2–3x/day, musta-fennel tea for kidney strength.",
Kidney Stones,"Punarnava guggulu and gokshuradi guggulu tablets, herbal mix (punarnava, mutral, coriander) with barley tea or nonalcoholic beer, alternate hot and cold compresses, watermelon juice with coriander powder.",
Low Libido,"Men: ashwagandha/vidari in warm milk at night, massage glans with bala oil or shatavari ghee; Women: shatavari/vidari in warm milk, massage pubic bone with bala oil; Both: soaked almonds, dates in ghee, apple dessert, figs with honey, Vajra/Rooster/Camel/Nataraj yoga, shatavari-vidari-nutmeg-tagar mix.",
Memory Problems,"Carrot or beet juice, 5-day kitchari or 3-day fruit fast, medhya herbs (brahmi, jatamamsi, bhringaraj, shanka pushpi) as tea or brahmi milk, brahmi ghee before meals, aloe vera gel with black pepper and bhringaraj, yoga, meditation, alternate nostril breathing, avoid alcohol/drugs.",
Migraine,"Pitta-pacifying diet, avoid sun/hot/spicy foods, herbal mix (shatavari, brahmi, jatamamsi, musta), brahmi ghee nose drops, Moon Salutation, cooling pranayama.",
Morning Sickness,"Light food upon waking, sip coconut water with lemon juice, herbal mix (shatavari, shanka bhasma, kama dudha), soaked almonds, walk in fresh air, massage with appropriate oil, milk with rose water/ghee at bedtime.",
Muscle Cramps/Spasms,"Immediate pressure on muscle belly/lip marma point, massage with mahanarayan/sesame oil and heat, calcium-magnesium-zinc supplements, dashamoola tea weekly, yogaraj guggulu tablets.",
Nasal Crust,"Steam with ginger, ajwan, turmeric, dilute eucalyptus oil in nose, sniff onion, lubricate nostrils with brahmi ghee or saline, humidify room, vitamin C, amalaki, zinc, sitopaladi churna.",
Nausea/Vomiting,"Pitta-soothing diet, fasting with pineapple juice/ginger, lime juice, cardamom, ginger-onion juice, cumin-nutmeg tea, herbal mix (rose petal, sandalwood, rock candy, lime juice), for worms: vidanga/triphala, liver detox: kutki/shatavari/shanka bhasma/kama dudha.",
Nightmares,"Tranquility tea (jatamamsi, brahmi, ginkgo, yashti madhu) before bed, brahmi/bhringaraj oil massage on scalp/feet, nasya with ghee, eat early, yoga, pranayama, meditation, positive affirmations, crystals.",
Nosebleed,"Drink cool water, cold compress, sniff cold water, pinch nose, ghee in nostrils, humidify room, herbal mix (manjistha, kama dudha), pomegranate juice or nose drops, pitta-pacifying diet.",
Obesity,"Kapha-pacifying diet, avoid cold/fatty foods/dairy, regular exercise, hot water with honey/lime, herbal mix (kutki, chitrak, shilajit, punarnava), triphala guggulu, hot spices, supportive yoga/pranayama, avoid daytime naps.",
Osteoporosis,"Gentle daily exercise, calcium-rich foods (sesame, almonds, dairy, soy), calcium-magnesium-zinc supplements, herbal mix (shatavari, vidari, wild yam, shanka bhasma, kama dudha) with warm milk, gentle yoga.",
Overeating,"Express feelings (journaling), So-Hum meditation or shitali pranayama, 12 deep breaths and warm water, walk, eat light foods, banana with ghee and cardamom, test hunger with herbal tea, kaishore guggulu for hyperthyroidism, brahmi milk, chew roasted coriander/fennel seeds or lemon-baking soda water if overeaten.",
PMS (Premenstrual Syndrome),"Vata: dashamoola tea, cherries, kaishore/yogaraj guggulu, aloe gel with black pepper; Pitta: shatavari-brahmi-musta mix, aloe with cumin; Kapha: punarnava-kutki-musta mix, cherries, aloe with trikatu; all: warm ghee nose drops, warm castor oil pack, regular exercise, constitutional diet.",
,,
Prostate Problems,"Herbal mix (punarnava, shilajit, gokshura), ginseng/hibiscus/horsetail tea, cumin-coriander-fennel tea, punarnava guggulu, ashwagandha-vidari mix, gentle oil massage, Ashwini Mudra, Elevated Lotus pose.",
Rashes and Hives,"Drink/apply cilantro juice, coconut water/melon rind on skin, coriander-cumin-sugar milk, sandalwood-turmeric-goat’s milk paste, coriander-cumin-sugar milk for internal healing.",
Rectal Bleeding,"Wash with cool water, apply ghee/castor oil, cranberry/pomegranate juice, avoid hot/spicy/fermented foods, keep stools soft (ghee, amalaki/triphala, psyllium), vitamin K for serious bleeding, pitta-pacifying diet, yoga (Camel, Cobra, Cow, Spinal Twist), herbal mix (shatavari, kama dudha, gulwel sattva).",
Rectal Itching,For worms: vidanga-shardunika-trikatu mix and triphala; for yeast: apply yogurt; for hemorrhoids: baking soda bath and neem oil; for fungus: tea tree and neem oil; avoid spicy/fermented/yeast foods and alcohol.,
Sinus Problems,"Ginger juice with honey, sitopaladi-trikatu-mahasudarshan mix, herbal antibiotics (goldenseal, osha, turmeric, neem), saline nasal wash, eucalyptus/ginger steam, garlic juice drops, avoid dairy/cold drinks, warm ghee in nostrils, regular use of sitopaladi-mahasudarshan-abrak bhasma mix.",
Skin—Ayurvedic Care,"Daily oil massage (sesame for vata, sunflower for pitta, corn for kapha), turmeric, iron-rich foods, sunbathe with dosha-appropriate oil, neem/brahmi oil for face, shikakai shampoo, neem/sandalwood soap, match water temperature to constitution, gentle towel massage.",
Sleep Apnea,"Pippali with honey and ghee, trikatu churna, sitopaladi-yashti madhu-honey mix, nasya with brahmi ghee, treat obesity with kutki-chitrak-shilajit mix, regular walking, sleep on left side, humidify house, consider panchakarma.",
Smoking (Addiction),"Herbal cigarette (brahmi, jatamamsi, rose petal powder), brahmi ghee on cigarette, tea of jatamamsi-chamomile-brahmi, chew dried pineapple with honey, meditation, yoga (Moon Salutation, Locust, Bow, Shoulder Stand, Plow, Palm Tree), Breath of Fire pranayama.",
Sore Throat,"Gargle with hot water, turmeric, and salt; turmeric milk; ginger-cinnamon-licorice tea; avoid dairy/fermented foods; Lion pose and Yoga Mudra; bhramari (Humming Breath) pranayama.",
Spastic Colon,"Herbal mix (shatavari, hingwastak churna, ajwan, chitrak) after meals with warm water.",
Sprains and Strains,"Elastic bandage, pineapple/pomegranate juice, soak in mustard seed tea or salt water, turmeric-salt paste, kaishore guggulu capsules, avoid high heels.",
Stomachache,"Chew cumin powder, hing, and rock salt; ginger juice for diarrhea; shankavati or lasunadivati tablets; ajwan and baking soda mix; chew roasted fennel-cumin-coriander; onion juice with honey and black pepper; cumin-coriander-fennel tea; ginger before meals; light diet; trikatu-chitrak-kutki mix for chronic indigestion.",
Stress,"Daily relaxation (deep breathing, massage with dosha-appropriate oil, meditation, yoga, soothing herbal tea such as brahmi, chamomile, comfrey, or a brahmi-bhringaraj-jatamamsi-shanka pushpi mix); regular exercise and positive mental techniques.",
Sunburn,"Aloe vera gel or coconut oil, cool milk compress, sandalwood-turmeric paste, avoid sun 10am–3pm, neem oil (in sesame or mild oil) before sun, coconut water, pitta-pacifying diet.",
Swelling (Edema) During Pregnancy,"Cumin-coriander-fennel tea 2–3x/day, for severe swelling punarnava/gokshura tea, walk daily, avoid salt, raise feet, see doctor if generalized swelling or high BP.",
Teeth and Gums—Ayurvedic Care,"Chew white sesame seeds daily, massage gums with sesame oil, brush with neem/astringent herbs, tea tree oil for receding gums/sensitivity, eat figs, tap teeth gently, chew food well.",
Tendinitis,"Cold compress and sandalwood-turmeric paste for mild cases, gentle stretching, anti-inflammatory herbal mix (kaishore guggulu, manjistha, musta, guduchi), for chronic cases heat and mahanarayan oil massage.",
Tinnitus,"Tea of comfrey, cinnamon, chamomile; yogaraj guggulu; massage mastoid bone with sesame oil; garlic oil drops in ear at night.",
Toenail Infection,"Soak foot in warm water, apply tea tree oil mixed with neem oil under nail, cut nails straight across, wear soft shoes.",
Toothache,"Tea tree oil or clove oil to painful area, pitta-soothing diet and healthy gum care for sensitivity, edible camphor for pain relief.",
Ulcers,"Strict pitta-pacifying diet, herbal mix (shatavari, yashti madhu, shanka bhasma, kama dudha), psyllium husks at bedtime, tranquility tea (jatamamsi, brahmi, shanka pushpi), yoga, cooling pranayama, small frequent meals.",
Urinary Incontinence,"Ashwini Mudra and Vajrasana, herbal mix (ashwagandha, bala, vidari), eat white sesame seeds with jaggery, weekly sesame oil enema, avoid caffeine/alcohol, vata-pacifying diet.",
